Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,
,,,,,,,,,,,,,,
v Afghanistan,2018-2019,2,36,28,18,0,-,-,-,-,0,3,-, 
v Africa XI,2007-2007,3,174,139*,87,1,-,-,-,-,3,3,-, 
v Australia,2006-2019,55,1660,139*,44.86,2,-,-,-,-,44,18,-, 
v Bangladesh,2004-2019,21,569,101*,47.41,1,-,-,-,-,22,10,-, 
v Bermuda,2007-2007,1,29,29,29,0,-,-,-,-,1,0,-, 
v England,2006-2019,48,1546,134,46.84,1,-,-,-,-,39,16,-, 
v Hong Kong,2008-2018,2,109,109*,109,1,-,-,-,-,3,4,-, 
v Ireland,2011-2015,2,34,34,34,0,-,-,-,-,5,0,-, 
v Netherlands,2011-2011,1,19,19*,-,0,-,-,-,-,1,0,-, 
v New Zealand,2005-2019,28,940,84*,49.47,0,-,-,-,-,24,9,-, 
v Pakistan,2005-2019,36,1231,148,53.52,2,-,-,-,-,35,9,-, 
v Scotland,2007-2007,1,-,-,-,-,-,-,-,-,2,0,-, 
v South Africa,2005-2019,37,830,92*,31.92,0,-,-,-,-,30,11,-, 
v Sri Lanka,2005-2019,67,2383,183*,64.4,2,0,-,-,0,71,25,-, 
v U.A.E.,2015-2015,1,-,-,-,-,-,-,-,-,2,0,-, 
v West Indies,2005-2019,39,1005,95,55.83,0,1,1/14,14,0,33,14,41.83, 
v Zimbabwe,2005-2016,6,208,85*,208,0,-,-,-,-,6,1,-, 
,,,,,,,,,,,,,,
in Australia,2008-2019,35,1053,88*,47.86,0,-,-,-,-,41,8,-, 
in Bangladesh,2004-2015,20,610,101*,55.45,1,-,-,-,-,14,8,-, 
in England,2007-2019,38,938,78*,39.08,0,0,-,-,0,30,13,-, 
in India,2005-2019,130,4525,183*,54.51,8,-,-,-,-,102,51,-, 
in Ireland,2007-2007,2,14,14*,14,0,-,-,-,-,2,0,-, 
in Malaysia,2006-2006,4,43,23,14.33,0,-,-,-,-,7,1,-, 
in New Zealand,2009-2019,15,590,85*,84.28,0,-,-,-,-,10,4,-, 
in Pakistan,2006-2008,11,546,109*,136.5,1,-,-,-,-,16,3,-, 
in Scotland,2007-2007,1,-,-,-,-,-,-,-,-,2,0,-, 
in South Africa,2006-2018,21,370,65,26.42,0,1,1/14,14,0,18,6,12.42, 
in Sri Lanka,2005-2017,38,1240,94,51.66,0,-,-,-,-,44,11,-, 
in U.A.E.,2006-2018,8,139,59,23.16,0,-,-,-,-,8,6,-, 
in West Indies,2006-2017,19,532,95,48.36,0,-,-,-,-,20,10,-, 
in Zimbabwe,2005-2016,8,173,67*,57.66,0,-,-,-,-,7,2,-, 
,,,,,,,,,,,,,,
