Grouping,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
v Afghanistan,2,2,0,36,28,18,69,52.17,0,0,0,3,0, 
v Africa XI,3,3,1,174,139,87,139,125.17,1,0,0,17,7, 
v Australia,55,48,11,1660,139,44.86,2052,80.89,2,11,3,112,33, 
v Bangladesh,21,17,5,569,101,47.41,682,83.43,1,2,2,49,3, 
v Bermuda,1,1,0,29,29,29,25,116,0,0,0,2,1, 
v England,48,44,11,1546,134,46.84,1758,87.94,1,10,1,129,34, 
v Hong Kong,2,2,1,109,109,109,99,110.1,1,0,1,6,6, 
v Ireland,2,1,0,34,34,34,50,68,0,0,0,2,0, 
v Netherlands,1,1,1,19,19,,40,47.5,0,0,0,2,0, 
v New Zealand,28,26,7,940,84,49.47,1140,82.45,0,7,0,73,20, 
v Pakistan,36,31,8,1231,148,53.52,1361,90.44,2,9,0,108,25, 
v South Africa,37,32,6,830,92,31.92,950,87.36,0,4,1,67,18, 
v Sri Lanka,67,53,16,2383,183,64.4,2645,90.09,2,19,2,182,45, 
v West Indies,39,33,15,1005,95,55.83,1108,90.7,0,8,0,63,28, 
v Zimbabwe,6,3,2,208,85,208,185,112.43,0,3,0,11,9, 
in Australia,35,31,9,1053,88,47.86,1393,75.59,0,8,1,55,16, 
in Bangladesh,20,17,6,610,101,55.45,684,89.18,1,3,1,57,5, 
in England,38,28,4,938,78,39.08,1110,84.5,0,8,1,77,14, 
in India,130,116,33,4525,183,54.51,4889,92.55,8,25,3,367,123, 
in Ireland,2,2,1,14,14,14,15,93.33,0,0,1,2,0, 
in Malaysia,4,3,0,43,23,14.33,57,75.43,0,0,0,4,1, 
in New Zealand,15,12,5,590,85,84.28,597,98.82,0,6,0,47,14, 
in Pakistan,11,9,5,546,109,136.5,518,105.4,1,5,0,49,13, 
in South Africa,21,16,2,370,65,26.42,467,79.22,0,2,0,29,9, 
in Sri Lanka,38,35,11,1240,94,51.66,1548,80.1,0,10,0,85,15, 
in U.A.E.,8,6,0,139,59,23.16,206,67.47,0,1,1,11,0, 
in West Indies,19,17,6,532,95,48.36,662,80.36,0,3,2,36,10, 
in Zimbabwe,8,5,2,173,67,57.66,157,110.19,0,2,0,7,9, 
in Africa,29,21,4,543,67,31.94,624,87.01,0,4,0,36,18, 
in Americas,19,17,6,532,95,48.36,662,80.36,0,3,2,36,10, 
in Asia,211,186,55,7103,183,54.22,7902,89.88,10,44,5,573,157, 
in Europe,41,30,5,952,78,38.08,1125,84.62,0,8,2,79,14, 
in Oceania,50,43,14,1643,88,56.65,1990,82.56,0,14,1,102,30, 
home,127,113,32,4351,183,53.71,4750,91.6,7,25,3,350,116, 
away,145,124,35,4520,101,50.78,5382,83.98,1,37,3,324,73, 
neutral,78,60,17,1902,139,44.23,2171,87.6,2,11,4,152,40, 
year 2004,3,3,1,19,12,9.5,14,135.71,0,0,1,2,1, 
year 2005,27,24,6,895,183,49.72,868,103.11,2,3,1,67,34, 
year 2006,29,26,6,821,96,41.05,883,92.97,0,7,0,81,20, 
year 2007,37,33,8,1103,139,44.12,1231,89.6,1,7,3,87,23, 
year 2008,29,26,7,1097,109,57.73,1333,82.29,1,8,0,74,14, 
year 2009,29,24,7,1198,124,70.47,1400,85.57,2,9,0,79,18, 
year 2010,18,17,4,600,101,46.15,760,78.94,1,3,1,52,9, 
year 2011,24,22,9,764,91,58.76,850,89.88,0,6,0,59,14, 
year 2012,16,14,6,524,113,65.5,598,87.62,1,3,0,37,9, 
year 2013,26,20,8,753,139,62.75,784,96.04,1,5,1,67,24, 
year 2014,12,10,2,418,79,52.25,454,92.07,0,5,0,32,11, 
year 2015,20,17,3,640,92,45.71,737,86.83,0,4,0,50,11, 
year 2016,13,10,0,278,80,27.8,347,80.11,0,1,1,18,9, 
year 2017,29,22,9,788,134,60.61,930,84.73,1,6,0,60,19, 
year 2018,20,13,2,275,42,25,385,71.42,0,0,1,19,2, 
year 2019,18,16,6,600,87,60,729,82.3,0,6,1,42,11, 
season 2004/05,9,9,1,280,148,35,286,97.9,1,0,1,29,6, 
season 2005,10,10,4,245,67,40.83,226,108.4,0,2,0,10,12, 
season 2005/06,23,19,7,847,183,70.58,820,103.29,1,6,1,81,26, 
season 2006,6,5,1,95,46,23.75,121,78.51,0,0,0,11,1, 
season 2006/07,21,18,3,520,67,34.66,564,92.19,0,4,2,30,18, 
season 2007,15,14,3,490,139,44.54,556,88.12,1,2,1,45,8, 
season 2007/08,22,20,6,708,88,50.57,892,79.37,0,5,0,50,9, 
season 2008,14,12,2,608,109,60.8,689,88.24,1,5,0,42,10, 
season 2008/09,15,14,5,592,94,65.77,661,89.56,0,6,0,38,8, 
season 2009,7,6,2,281,95,70.25,355,79.15,0,2,0,17,4, 
season 2009/10,20,16,3,754,124,58,861,87.57,3,3,0,64,13, 
season 2010,9,9,2,313,67,44.71,457,68.49,0,2,0,25,4, 
season 2010/11,15,14,3,316,91,28.72,422,74.88,0,1,1,23,3, 
season 2011,5,5,2,236,78,78.66,241,97.92,0,3,0,19,5, 
season 2011/12,15,13,9,488,87,122,529,92.24,0,4,0,33,10, 
season 2012,5,4,0,135,58,33.75,132,102.27,0,1,0,14,2, 
season 2012/13,8,8,3,351,113,70.2,416,84.37,1,2,0,25,13, 
season 2013,7,4,1,99,45,33,117,84.61,0,0,1,9,2, 
season 2013/14,17,14,6,688,139,86,671,102.53,1,6,0,60,21, 
season 2014,4,2,0,81,52,40.5,93,87.09,0,1,0,7,1, 
season 2014/15,15,12,3,372,85,41.33,422,88.15,0,3,0,29,7, 
season 2015,3,3,0,121,69,40.33,159,76.1,0,1,0,9,1, 
season 2015/16,10,10,1,298,92,33.11,299,99.66,0,1,1,21,8, 
season 2016/17,8,8,0,357,134,44.62,434,82.25,1,1,0,26,12, 
season 2017,15,10,7,383,78,127.66,480,79.79,0,4,0,24,6, 
season 2017/18,17,13,4,309,79,34.33,371,83.28,0,2,0,29,7, 
season 2018,9,6,0,156,42,26,249,62.65,0,0,1,12,0, 
season 2018/19,14,11,4,377,87,53.85,469,80.38,0,4,1,24,7, 
season 2019,9,8,2,273,56,45.5,311,87.78,0,2,0,20,5, 
is captain,200,172,48,6641,139,53.55,7703,86.21,6,47,3,499,126, 
is not captain,150,125,36,4132,183,46.42,4600,89.82,4,26,7,327,103, 
is designated keeper,350,297,84,10773,183,50.57,12303,87.56,10,73,10,826,229, 
won the toss,177,149,36,5385,148,47.65,6241,86.28,4,34,4,413,105, 
lost the toss,173,148,48,5388,183,53.88,6062,88.88,6,39,6,413,124, 
won toss & batted,93,92,20,3504,148,48.66,3889,90.1,4,21,1,275,72, 
won toss & fielded,84,57,16,1881,87,45.87,2352,79.97,0,13,3,138,33, 
lost toss & sent in,63,60,14,2420,139,52.6,2391,101.21,4,17,5,202,69, 
lost toss & fielded,110,88,34,2968,183,54.96,3671,80.84,2,22,1,211,55, 
matches batting first,156,152,34,5924,148,50.2,6280,94.33,8,38,6,477,141, 
matches fielding first,194,145,50,4849,183,51.04,6023,80.5,2,35,4,349,88, 
1st match innings,156,152,34,5924,148,50.2,6280,94.33,8,38,6,477,141, 
2nd match innings,189,145,50,4849,183,51.04,6023,80.5,2,35,4,349,88, 
day match,128,103,26,3872,183,50.28,4334,89.34,3,25,6,302,91, 
day/night match,222,194,58,6901,139,50.74,7969,86.59,7,48,4,524,138, 
won match,205,162,68,6486,183,69,6745,96.16,7,44,6,515,146, 
lost match,124,124,11,3852,139,34.08,5071,75.96,3,25,4,286,73, 
tied match,6,6,2,245,78,61.25,267,91.76,0,3,0,14,9, 
no result,15,5,3,190,88,95,220,86.36,0,1,0,11,1, 
won batting first,89,87,21,3610,148,54.69,3477,103.82,5,24,4,289,96, 
won fielding first,116,75,47,2876,183,102.71,3268,88,2,20,2,226,50, 
lost batting first,57,57,9,1995,139,41.56,2462,81.03,3,12,2,168,39, 
lost fielding first,67,67,2,1857,67,28.56,2609,71.17,0,13,2,118,34, 
tied batting first,3,3,1,129,78,64.5,121,106.61,0,1,0,9,5, 
tied fielding first,3,3,1,116,58,58,146,79.45,0,2,0,5,4, 
no result batting first,7,5,3,190,88,95,220,86.36,0,1,0,11,1, 
2 team series,233,201,57,7669,183,53.25,8518,90.03,8,54,6,610,175, 
3-4 team tournaments,60,54,18,1737,101,48.25,2219,78.27,1,10,0,119,27, 
5+ team tournaments,57,42,9,1367,109,41.42,1566,87.29,1,9,4,97,27, 
1st match in series,52,44,10,1610,113,47.35,1807,89.09,1,13,1,136,33, 
2nd match in series,55,48,11,1954,148,52.81,2202,88.73,4,12,3,147,43, 
3rd match in series,47,43,19,2009,183,83.7,2141,93.83,3,13,0,166,49, 
4th match in series,35,29,12,944,94,55.52,1045,90.33,0,6,1,64,22, 
5th match in series,31,27,4,725,77,31.52,819,88.52,0,6,1,56,18, 
6th match in series,8,6,1,230,96,46,310,74.19,0,1,0,20,4, 
7th match in series,4,4,0,197,80,49.25,194,101.54,0,3,0,21,6, 
World Cup,29,25,7,780,91,43.33,867,89.96,0,5,2,59,15, 
Asia Cup,19,16,6,648,109,64.8,739,87.68,1,3,1,47,12, 
ICC Champions Trophy,16,8,0,183,63,22.87,217,84.33,0,2,1,13,4, 
tournament finals,15,15,3,533,91,44.41,658,81,0,4,1,42,9, 
tournament semi-finals,5,3,0,140,65,46.66,179,78.21,0,2,0,6,3, 
tournament quarter-finals,2,2,0,13,7,6.5,19,68.42,0,0,0,1,0, 
preliminary matches,95,76,24,2418,109,46.5,2929,82.55,2,13,3,167,42, 
2nd position,2,2,0,98,96,49,113,86.72,0,1,0,10,3, 
3rd position,16,16,4,993,183,82.75,996,99.69,2,6,1,82,21, 
4th position,30,30,6,1358,109,56.58,1463,92.82,1,12,1,111,33, 
5th position,83,83,20,3169,134,50.3,3678,86.16,4,18,2,236,62, 
6th position,129,129,41,4164,139,47.31,4968,83.81,1,30,2,312,87, 
7th position,34,34,13,940,139,44.76,1003,93.71,2,6,4,72,23, 
8th position,3,3,0,51,20,17,82,62.19,0,0,0,3,0, 
