Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,
v Afghanistan,2014-2019,2,67,67,67,0,-,-,-,-,2,0,-, 
v Australia,2009-2020,40,1910,123,54.57,8,0,-,-,0,25,0,-, 
v Bangladesh,2010-2019,12,680,136,75.55,3,0,-,-,0,5,0,-, 
v England,2011-2019,30,1178,122,45.3,3,2,1/20,69,0,13,0,-23.69, 
v Ireland,2011-2015,2,78,44*,78,0,-,-,-,-,0,0,-, 
v Netherlands,2011-2011,1,12,12,12,0,-,-,-,-,0,0,-, 
v New Zealand,2010-2020,26,1378,154*,59.91,5,1,1/36,61,0,9,0,-1.08, 
v Pakistan,2009-2019,13,536,183,48.72,2,0,-,-,0,7,0,-, 
v South Africa,2010-2019,27,1287,160*,64.35,4,1,1/15,80,0,21,0,-15.64, 
v Sri Lanka,2008-2019,47,2220,139*,60,8,0,-,-,0,22,0,-, 
v U.A.E.,2015-2015,1,33,33*,-,0,-,-,-,-,0,0,-, 
v West Indies,2009-2019,39,2235,157*,72.09,9,0,-,-,0,20,0,-, 
v Zimbabwe,2010-2015,8,253,115,50.6,1,0,-,-,0,4,0,-, 
,,,,,,,,,,,,,,
in Australia,2012-2019,26,1154,133*,50.17,5,0,-,-,0,18,0,-, 
in Bangladesh,2010-2015,16,970,183,80.83,5,0,-,-,0,11,0,-, 
in England,2011-2019,31,1316,107,54.83,1,1,1/44,120,0,14,0,-65.16, 
in India,2009-2020,95,4865,157*,60.81,19,1,1/20,227,0,43,0,-166.18, 
in New Zealand,2014-2020,13,596,123,49.66,1,1,1/36,61,0,3,0,-11.33, 
in South Africa,2009-2018,17,877,160*,87.7,3,1,1/15,75,0,12,0,12.7, 
in Sri Lanka,2008-2017,23,899,131,47.31,4,0,-,-,0,10,0,-, 
in West Indies,2011-2019,18,825,120,58.92,4,0,-,-,0,12,0,-, 
in Zimbabwe,2010-2013,9,365,115,60.83,1,0,-,-,0,5,0,-, 
,,,,,,,,,,,,,,
in Africa,2009-2018,26,1242,160*,77.62,4,1,1/15,82,0,17,0,-4.37, 
in Americas,2011-2019,18,825,120,58.92,4,0,-,-,0,12,0,-, 
in Asia,2008-2020,134,6734,183,60.66,28,1,1/20,295,0,64,0,-234.33, 
in Europe,2011-2019,31,1316,107,54.83,1,1,1/44,120,0,14,0,-65.16, 
in Oceania,2012-2020,39,1750,133*,50,6,1,1/36,106,0,21,0,-55.99, 
,,,,,,,,,,,,,,
home,2009-2020,95,4865,157*,60.81,19,1,1/20,227,0,43,0,-166.18, 
away,2008-2020,104,4884,160*,58.14,20,3,1/15,103.66,0,57,0,-45.52, 
neutral,2009-2019,49,2118,183,58.83,4,0,-,-,0,28,0,-, 
,,,,,,,,,,,,,,
year 2008,,5,159,54,31.8,0,-,-,-,-,3,0,-, 
year 2009,,10,325,107,54.16,1,0,-,-,0,4,0,-, 
year 2010,,25,995,118,47.38,3,0,-,-,0,9,0,-, 
year 2011,,34,1381,117,47.62,4,2,1/20,94,0,19,0,-46.37, 
year 2012,,17,1026,183,68.4,5,0,-,-,0,14,0,-, 
year 2013,,34,1268,115*,52.83,4,1,1/15,178,0,11,0,-125.16, 
year 2014,,21,1054,139*,58.55,4,1,1/36,107,0,8,0,-48.44, 
year 2015,,20,623,138,36.64,2,0,-,-,0,11,0,-, 
year 2016,,10,739,154*,92.37,3,0,-,-,0,6,0,-, 
year 2017,,26,1460,131,76.84,6,0,-,-,0,9,0,-, 
year 2018,,14,1202,160*,133.55,6,-,-,-,-,9,0,-, 
year 2019,,26,1377,123,59.86,5,-,-,-,-,21,0,-, 
year 2020,,6,258,89,43,0,-,-,-,-,4,0,-, 
,,,,,,,,,,,,,,
season 2008,,5,159,54,31.8,0,-,-,-,-,3,0,-, 
season 2009,,1,2,2*,-,0,-,-,-,-,0,0,-, 
